epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,610.201,1.06081,0.89435,1.62848,0.9926,0.88,0.96135,0.82972,0.75949,0.62451,1.36866,0.0011684,0.0011684,0.0011684
44,623.503,1.0151,0.87534,1.59548,0.92236,0.95074,0.95009,0.81424,0.82501,0.64039,1.42065,0.0011486,0.0011486,0.0011486
45,637.989,1.00917,0.84731,1.59667,1,0.91466,0.94286,0.83836,0.71383,0.6391,1.37152,0.0011288,0.0011288,0.0011288
46,651.461,0.97799,0.84492,1.54199,1,0.90776,0.95293,0.82855,0.65503,0.62418,1.29631,0.001109,0.001109,0.001109
47,664.776,0.92855,0.79297,1.51689,0.99656,0.96,0.95618,0.84581,0.65848,0.68472,1.29745,0.0010892,0.0010892,0.0010892
48,679.204,0.93995,0.8423,1.49705,0.91348,0.92,0.94955,0.84203,0.70383,0.68759,1.3679,0.0010694,0.0010694,0.0010694
49,693.592,0.90626,0.77737,1.49817,0.90198,0.96,0.9403,0.8159,0.74484,0.77957,1.40873,0.0010496,0.0010496,0.0010496
50,708.538,0.91143,0.7631,1.465,0.92303,0.95933,0.95266,0.82308,0.71348,0.72183,1.38236,0.0010298,0.0010298,0.0010298
51,720.424,0.8752,0.76411,1.42689,0.92014,0.96,0.95129,0.87887,0.61905,0.62038,1.32562,0.00101,0.00101,0.00101
52,734.127,0.93512,0.8106,1.5112,0.91017,0.96,0.95128,0.85692,0.72191,0.63671,1.34944,0.0009902,0.0009902,0.0009902
53,748.474,0.85014,0.76552,1.43277,0.99188,0.96,0.95615,0.87501,0.60961,0.58828,1.30963,0.0009704,0.0009704,0.0009704
54,762.895,0.76543,0.69273,1.36129,0.95302,0.96,0.9502,0.84827,0.68023,0.6274,1.32272,0.0009506,0.0009506,0.0009506
55,774.418,0.85975,0.8086,1.48414,1,0.95348,0.95622,0.88348,0.55183,0.51499,1.24593,0.0009308,0.0009308,0.0009308
56,789.127,0.86553,0.77812,1.42589,0.99884,0.92,0.95543,0.86671,0.61838,0.63299,1.34777,0.000911,0.000911,0.000911
57,802.48,0.82261,0.73448,1.39977,0.99465,0.96,0.95613,0.86409,0.66005,0.56959,1.33122,0.0008912,0.0008912,0.0008912
58,815.362,0.77976,0.6639,1.40846,0.99513,0.96,0.95601,0.86915,0.54865,0.50479,1.21536,0.0008714,0.0008714,0.0008714
59,829.177,0.74181,0.63441,1.34557,0.9956,0.96,0.95656,0.89645,0.50283,0.47687,1.19505,0.0008516,0.0008516,0.0008516
60,841.911,0.70139,0.61556,1.31022,1,0.91131,0.94937,0.82601,0.6914,0.6097,1.37226,0.0008318,0.0008318,0.0008318
61,856.229,0.7838,0.67361,1.39855,1,0.95747,0.95615,0.8633,0.55244,0.53603,1.23359,0.000812,0.000812,0.000812
62,869.751,0.77214,0.68564,1.36131,0.99418,0.96,0.95688,0.83395,0.62992,0.50843,1.2525,0.0007922,0.0007922,0.0007922
63,882.854,0.7473,0.63176,1.31585,0.99581,0.96,0.97352,0.90628,0.48607,0.41272,1.16372,0.0007724,0.0007724,0.0007724
64,896.557,0.75388,0.67659,1.34964,0.99898,0.96,0.97167,0.87967,0.50121,0.47417,1.17896,0.0007526,0.0007526,0.0007526
65,910.548,0.74047,0.64638,1.3359,0.95887,0.96,0.9476,0.83614,0.62851,0.54605,1.27925,0.0007328,0.0007328,0.0007328
66,925.264,0.79462,0.68753,1.37014,0.9931,0.96,0.9575,0.87641,0.5839,0.56457,1.24589,0.000713,0.000713,0.000713
67,939.818,0.73198,0.66125,1.33978,1,0.91739,0.96622,0.87286,0.50048,0.8558,1.15489,0.0006932,0.0006932,0.0006932
68,954.039,0.71474,0.64913,1.35032,0.99619,0.96,0.96241,0.84193,0.58504,0.46376,1.19498,0.0006734,0.0006734,0.0006734
69,968.69,0.65276,0.58163,1.27174,0.99531,0.92,0.95089,0.86817,0.58614,0.50989,1.23836,0.0006536,0.0006536,0.0006536
70,981.18,0.72299,0.677,1.34134,0.99716,0.92,0.94644,0.88252,0.45963,0.43899,1.15678,0.0006338,0.0006338,0.0006338
71,993.777,0.69343,0.62172,1.30314,0.99718,0.96,0.95756,0.90136,0.47542,0.43433,1.14077,0.000614,0.000614,0.000614
72,1006.96,0.64327,0.55796,1.23603,0.99752,0.96,0.95723,0.9002,0.4364,0.39831,1.1286,0.0005942,0.0005942,0.0005942
73,1020.03,0.61333,0.54485,1.21867,0.99507,0.96,0.95753,0.90623,0.45292,0.42563,1.12886,0.0005744,0.0005744,0.0005744
74,1032.99,0.65344,0.58239,1.27698,1,0.95958,0.95607,0.91215,0.4209,0.46224,1.11645,0.0005546,0.0005546,0.0005546
75,1045.78,0.62096,0.57471,1.23085,1,0.95774,0.95828,0.89541,0.4473,0.41427,1.12816,0.0005348,0.0005348,0.0005348
76,1059.27,0.64178,0.56605,1.23569,0.9961,0.96,0.95784,0.8561,0.55408,0.45974,1.19199,0.000515,0.000515,0.000515
77,1072.69,0.64667,0.58196,1.2549,0.99747,0.96,0.96046,0.89527,0.44894,0.39211,1.12177,0.0004952,0.0004952,0.0004952
78,1086.29,0.58833,0.54755,1.22526,0.99775,0.96,0.95732,0.90451,0.45777,0.42304,1.12702,0.0004754,0.0004754,0.0004754
79,1099.68,0.66446,0.58523,1.28736,0.99637,0.96,0.95796,0.87421,0.48892,0.46437,1.15902,0.0004556,0.0004556,0.0004556
80,1113.51,0.62336,0.55042,1.23145,0.99697,0.96,0.95857,0.92283,0.44934,0.40008,1.11505,0.0004358,0.0004358,0.0004358
